X,Y,ROAD,ROAD_NAME,COMMON_USAGE_NAME,SLK,CWY,TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,XSP,DATE_APPROVED,DATE_INSTALLED,ASSET_NO,PANEL_COUNT,PANEL_01_DESIGN,PANEL_01_DESIGN_MEANING,PANEL_02_DESIGN,PANEL_02_DESIGN_MEANING,PANEL_03_DESIGN,PANEL_03_DESIGN_MEANING,PANEL_04_DESIGN,PANEL_04_DESIGN_MEANING,LATITUDE,LONGITUDE,REGULATORY_SIGN_TYPE,ROUTE_NE_ID,OBJECTID,PANEL_01_COMMENT,PANEL_02_COMMENT,PANEL_03_COMMENT,PANEL_04_COMMENT,GlobalID
115.058714,-30.292141,5040241,Coalseam Dr,Coalseam Dr,0.01,Single,0.01,Local Road,8,Wheatbelt,504,Dandaragan,Median,,,,1,R2-3B(L),KEEP LEFT (600 X 800),,,,,,,-30.292141,115.058714,Other,208987,22195730,,,,,{E63D92B2-355E-43D7-85A3-C491F73E628C}
116.014,-30.667,M002,Bindoon Moora,Bindoon Moora Rd,83.3,Single,83.27,State Road,8,Wheatbelt,510,Moora,Right,,,,4,W7-2A,(NUMBER)...TRACKS (600 X 275),R6-24B,RAILWAY CROSSING (POSITION) (1800 X 238 - EACH CROSSARM),R1-1B,STOP (750 X 750),G9-48B,LOOK FOR TRAINS (750X750),-30.667,116.014,Other,247575,22195731,2,,,,{6A8D1E1A-ECFD-4CE1-93BE-7C5219BEA958}
116.014,-30.667,M002,Bindoon Moora,Bindoon Moora Rd,83.3,Single,83.27,State Road,8,Wheatbelt,510,Moora,Right,,,,4,W7-2A,(NUMBER)...TRACKS (600 X 275),R6-24B,RAILWAY CROSSING (POSITION) (1800 X 238 - EACH CROSSARM),R1-1B,STOP (750 X 750),G9-48B,LOOK FOR TRAINS (750X750),-30.667,116.014,Other,247575,22195732,2,,,,{A65A9065-11AE-4A30-93D6-ADC59324E10E}
116.002761,-30.633693,5100097,Beasley St,Beasley St,0.151,Single,0.151,Local Road,8,Wheatbelt,510,Moora,Verge,,,,2,MR-RS-14B,SCHOOL ZONE - CARNARVON (600 X 1315),MR-RS-13,CATEGORY 2 - END OF SCHOOL ZONE (600 X 400),,,,,-30.633693,116.002761,Other,203225,22195733,,,,,{D75F240C-8D7A-4C5C-AC04-CAA291A6EEEB}
116.002746,-30.633616,5100097,Beasley St,Beasley St,0.151,Single,0.151,Local Road,8,Wheatbelt,510,Moora,Verge,,,,2,MR-RS-14B,SCHOOL ZONE - CARNARVON (600 X 1315),MR-RS-13,CATEGORY 2 - END OF SCHOOL ZONE (600 X 400),,,,,-30.633616,116.002746,Other,203225,22195734,,,,,{7173C77D-7AA0-4214-B98C-21A2AC591BA8}
116.004262,-30.633458,5100097,Beasley St,Beasley St,0.019,Single,0.019,Local Road,8,Wheatbelt,510,Moora,Verge,,,,2,MR-RS-14B,SCHOOL ZONE - CARNARVON (600 X 1315),MR-RS-13,CATEGORY 2 - END OF SCHOOL ZONE (600 X 400),,,,,-30.633458,116.004262,Other,203225,22195735,,,,,{9B632BF2-33CB-4C19-B9AF-63D522D34686}
116.004462,-30.633553,M028,Midlands,Roberts Rd,23.06,Single,22.97,State Road,8,Wheatbelt,510,Moora,Left,,,,4,R4-8B,SCHOOL ZONE (600 X 400),R4-1B,SPEED RESTRICTION (600 X 800),R9-1-2B,TIME OF OPERATION MODULE TWO PERIODS (600 X 600),R4-8B,SCHOOL ZONE (600 X 400),-30.633553,116.004462,Other,247785,22195736,Panel No 1,Panel No 2,Panel No 3,Panel No 4,{55CB4CD0-4E5B-41DC-890A-085596FCBAB7}
116.004536,-30.633549,M028,Midlands,Roberts Rd,23.06,Single,22.97,State Road,8,Wheatbelt,510,Moora,Right,,,,4,R4-8B,SCHOOL ZONE (600 X 400),R4-8B,SCHOOL ZONE (600 X 400),R4-1B,SPEED RESTRICTION (600 X 800),R9-1-2B,TIME OF OPERATION MODULE TWO PERIODS (600 X 600),-30.633549,116.004536,Other,247785,22195737,Panel No 1,Panel No 2,Panel No 3,Panel No 4,{05A9EFD4-D2F0-48FA-9DEB-A4350FAA8C5E}
116.004055,-30.631596,M028,Midlands,Roberts Rd,23.28,Single,23.19,State Road,8,Wheatbelt,510,Moora,Left,,,,4,R4-8B,SCHOOL ZONE (600 X 400),R4-8B,SCHOOL ZONE (600 X 400),R4-1B,SPEED RESTRICTION (600 X 800),R9-2B,BUSES EXCEPTED (600 X 400),-30.631596,116.004055,Other,247785,22195738,Panel No 1,Panel No 2,Panel No 3,Panel No 4,{3DAFB149-748F-41F4-B8C8-6A228ADB623F}
115.012898,-29.354472,H004,Brand Hwy,Brand Hwy,286.58,Single,284.62,State Road,14,Mid West-Gascoyne,508,Irwin,Left,,,,2,R6-29C,KEEP LEFT UNLESS OVERTAKING (2400 X 1200),R9-7-1C,NEXT...KM (1200 X 240),,,,,-29.354472,115.012898,Other,247578,22195739,,1.4KM,,,{E4463492-CF75-4526-A597-7D835580F0E0}
114.930941,-29.251303,5080041,Hunt - Waldeck St,Hunt - Waldeck St,0.584,Single,0.584,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251303,114.930941,Other,220871,22195740,,,,,{65568FFD-930F-4E2C-91EE-E17813AA016B}
114.931143,-29.251477,5080076,Moreton Tce,Moreton Tce,0.651,Single,0.651,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251477,114.931143,Other,229477,22195741,,,,,{EFF3DC31-97C5-4306-B77B-5EAFA60139E4}
114.935075,-29.251457,5080002,Point Leander Dr,Point Leander Dr,0.025,Single,0.025,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251457,114.935075,Other,234139,22195742,,,,,{DA9DED55-040C-460B-9C17-50971A517FCD}
115.886909,-31.361739,5070214,Honeycomb Rd,Honeycomb Rd,2.094,Single,2.094,Local Road,8,Wheatbelt,507,Gingin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-31.361739,115.886909,Other,220361,22195743,,,,,{C40153F3-4F4F-4D64-875A-34CD0B87E94B}
115.89841,-31.36107,5070214,Honeycomb Rd,Honeycomb Rd,1.008,Single,1.008,Local Road,8,Wheatbelt,507,Gingin,Verge,,,,1,R2-3B(L),KEEP LEFT (600 X 800),,,,,,,-31.36107,115.89841,Other,220361,22195744,,,,,{6FD05077-D473-46D5-8025-7B261878DD2C}
115.904437,-31.34747,5070069,Brockman St,Brockman St,0.011,Single,0.011,Local Road,8,Wheatbelt,507,Gingin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-31.34747,115.904437,Other,205552,22195745,,,,,{557AC1A1-83FE-4B22-B981-9FC7CA4E769A}
115.904664,-31.347242,5070069,Brockman St,Brockman St,0.045,Single,0.045,Local Road,8,Wheatbelt,507,Gingin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-31.347242,115.904664,Other,205552,22195746,,,,,{1C01D452-AA75-449C-B4A9-6EF9DF6ECC5D}
121.651342,-33.001363,6040545,Osborne Rd,Osborne Rd,0.14,Single,0.14,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-25B,RAILWAY CROSSING (POSITION) (WITH TARGET BOARD) (1200 X 800),R6-9,STOP ON RED SIGNAL (450 X 600),,,,,-33.001363,121.651342,Other,232191,22195747,,,,,{7CB1257D-4A38-4F87-AAAF-9B228A23C389}
121.694426,-33.105791,6040079,Guests Rd,Guests Rd,0.05,Single,0.05,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.105791,121.694426,Other,218086,22195748,,,,,{F215C0CF-11C6-4189-ADB4-B0F20F34DE51}
